IncidentId,IncidentLink,OriginalCreateDate,OriginalOwningTeamId,OriginalOwningTeamName,OriginalOwningTenantName,OriginalSeverity,OriginalIncidentType,OriginalTitle,CurrentStatus,CurrentSeverity,CurrentOwningTeamId,CurrentOwningTeamName,CurrentOwningTenantName,CurrentIncidentType,CurrentTitle,ParentIncidentId,ModifiedDate,MitigateDate,ResolveDate,HasAutoTransfer,HasAutoLink,HasAnyAutoAction,AutoTransferCorrect,AutoLinkCorrect,HasManualTransferAfterAuto,HasManualRelationshipUpdateAfterAuto,HasAnyManualCorrectionAfterAuto,FirstAutoTransferAt,FirstAutoLinkAt,FirstManualTransferAt,FirstManualRelationshipUpdateAt,FirstAutoActionAt,TransferLatencySeconds,LinkLatencySeconds,FirstAutoActionLatencySeconds,AutoTransferEventCount,AutoLinkEventCount,ManualTransferEventCount,ManualRelationshipUpdateEventCount,IsStillInOriginalTeam
770621863,https://portal.microsofticm.com/imp/v3/incidents/details/770621863/home,2026-03-30 01:14:50.887000+00:00,10549,CLOUDNET\NRP,Cloudnet,2,LiveSite,[[NRP] OutOfMemory] ErrorCode_RoleInstance_Region_IsPrivateSubscription_IsPrivateSlice [UnhandledExceptionOutOfMemory_false_false_Central India_NRP_PNQ2001.9] is unhealthy.,MITIGATED,2,10549,CLOUDNET\NRP,Cloudnet,LiveSite,[[NRP] OutOfMemory] ErrorCode_RoleInstance_Region_IsPrivateSubscription_IsPrivateSlice [UnhandledExceptionOutOfMemory_false_false_Central India_NRP_PNQ2001.9] is unhealthy.,,2026-04-21 18:21:35.950000+00:00,2026-03-30 01:26:45.153000+00:00,,1,0,1,1,,0,0,0,2026-03-30 01:16:08.203000+00:00,,,,2026-03-30 01:16:08.203000+00:00,78,,78,1,0,0,0,1
770688992,https://portal.microsofticm.com/imp/v3/incidents/details/770688992/home,2026-03-30 04:35:05.677000+00:00,10475,CLOUDNET\NetworkManager,Cloudnet,2,LiveSite,[Perf-HighCpu] High NSM CPU usage anomaly detected on cluster PHX80PrdApp33 ,MITIGATED,2,10475,CLOUDNET\NetworkManager,Cloudnet,LiveSite,[Perf-HighCpu] High NSM CPU usage anomaly detected on cluster PHX80PrdApp33 ,,2026-03-30 05:59:18.137000+00:00,2026-03-30 05:58:13.090000+00:00,,,,,,,,,,,,,,,,,,,,,,1
770746450,https://portal.microsofticm.com/imp/v3/incidents/details/770746450/home,2026-03-30 07:12:36.257000+00:00,10661,CLOUDNET\RNM,Cloudnet,2,LiveSite,[PublisherAlert_RareErrors_Sev2] RNMAlerts [Prod_USEast2][Prod_USEast2_PublisherProgrammingFailed] is unhealthy.,MITIGATED,2,10661,CLOUDNET\RNM,Cloudnet,LiveSite,[PublisherAlert_RareErrors_Sev2] RNMAlerts [Prod_USEast2][Prod_USEast2_PublisherProgrammingFailed] is unhealthy.,,2026-03-30 17:01:25.960000+00:00,2026-03-30 12:24:04.597000+00:00,,1,0,1,1,,0,0,0,2026-03-30 07:15:07.867000+00:00,,,,2026-03-30 07:15:07.867000+00:00,151,,151,3,0,0,0,1
770748783,https://portal.microsofticm.com/imp/v3/incidents/details/770748783/home,2026-03-30 07:18:37.180000+00:00,10661,CLOUDNET\RNM,Cloudnet,2,LiveSite,[PublisherAlert_RareErrors_Sev2] RNMAlerts [Prod_EuropeWest][Prod_EuropeWest_PublisherProgrammingFailed] is unhealthy.,MITIGATED,2,10661,CLOUDNET\RNM,Cloudnet,LiveSite,[PublisherAlert_RareErrors_Sev2] RNMAlerts [Prod_EuropeWest][Prod_EuropeWest_PublisherProgrammingFailed] is unhealthy.,,2026-03-30 12:22:49.537000+00:00,2026-03-30 12:22:15.167000+00:00,,1,0,1,1,,0,0,0,2026-03-30 07:20:02.620000+00:00,,,,2026-03-30 07:20:02.620000+00:00,85,,85,1,0,0,0,1
770921994,https://portal.microsofticm.com/imp/v3/incidents/details/770921994/home,2026-03-30 14:59:17.317000+00:00,10475,CLOUDNET\NetworkManager,Cloudnet,25,LiveSite,[NsmPlus] Degraded DNS resolution on NSMPLUS_DUB20PrdApp03_02.4 europenorth,MITIGATED,25,10475,CLOUDNET\NetworkManager,Cloudnet,LiveSite,[NsmPlus] Degraded DNS resolution on NSMPLUS_DUB20PrdApp03_02.4 europenorth,,2026-04-07 11:10:58.537000+00:00,2026-03-30 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,1
770955382,https://portal.microsofticm.com/imp/v3/incidents/details/770955382/home,2026-03-30 16:15:33.123000+00:00,10661,CLOUDNET\RNM,Cloudnet,2,LiveSite,ApiUnexpectedFailures exceeded thresholds for ApiName: VirtualMachineScaleSets.ResourceOperation.PUT. Location: EastUS2EUAP. ResultCode: NetworkingInternalOperationError. and reported unhealthy.,MITIGATED,2,10661,CLOUDNET\RNM,Cloudnet,LiveSite,ApiUnexpectedFailures exceeded thresholds for ApiName: VirtualMachineScaleSets.ResourceOperation.PUT. Location: EastUS2EUAP. ResultCode: NetworkingInternalOperationError. and reported unhealthy.,,2026-03-31 17:46:05.207000+00:00,2026-03-31 17:45:25.390000+00:00,,1,1,1,1,1,0,0,0,2026-03-30 16:29:04.630000+00:00,2026-03-31 17:50:50.477000+00:00,2026-03-30 16:24:40.610000+00:00,2026-03-30 16:16:37.213000+00:00,2026-03-30 16:29:04.630000+00:00,811,92117,811,44,15,7,20,1
770955489,https://portal.microsofticm.com/imp/v3/incidents/details/770955489/home,2026-03-30 16:15:49.497000+00:00,60163,CLOUDNET\ManagedNetworkController,Cloudnet,2,LiveSite,New PubSub Client Connection Failed in useast2euap-slice2,RESOLVED,2,60163,CLOUDNET\ManagedNetworkController,Cloudnet,LiveSite,New PubSub Client Connection Failed in useast2euap-slice2,771567597,2026-05-29 16:38:35.243000+00:00,2026-04-03 21:20:42.897000+00:00,2026-05-29 16:38:35.243000+00:00,0,0,0,,,0,0,0,,,,2026-03-31 17:08:42.197000+00:00,,,,,0,0,0,1,1
770956183,https://portal.microsofticm.com/imp/v3/incidents/details/770956183/home,2026-03-30 16:17:21.890000+00:00,60163,CLOUDNET\ManagedNetworkController,Cloudnet,2,LiveSite,New PubSub Client Connection Failed in useast2euap-slice1,RESOLVED,2,60163,CLOUDNET\ManagedNetworkController,Cloudnet,LiveSite,New PubSub Client Connection Failed in useast2euap-slice1,771567597,2026-05-29 16:38:35.233000+00:00,2026-03-30 16:55:27.393000+00:00,2026-05-29 16:38:35.233000+00:00,0,0,0,,,0,0,0,,,,2026-03-31 17:08:42.030000+00:00,,,,,0,0,0,1,1
770961268,https://portal.microsofticm.com/imp/v3/incidents/details/770961268/home,2026-03-30 16:28:03.200000+00:00,10475,CLOUDNET\NetworkManager,Cloudnet,2,LiveSite,NSM to RNM connection is lost in useast2euap CVL08PrdApp13,MITIGATED,2,10475,CLOUDNET\NetworkManager,Cloudnet,LiveSite,NSM to RNM connection is lost in useast2euap CVL08PrdApp13,770974201,2026-03-31 17:01:24.460000+00:00,2026-03-31 17:01:24.470000+00:00,,0,0,0,,,0,0,0,,,,2026-03-30 16:29:42.660000+00:00,,,,,0,0,0,9,1
770962737,https://portal.microsofticm.com/imp/v3/incidents/details/770962737/home,2026-03-30 16:31:08.120000+00:00,10475,CLOUDNET\NetworkManager,Cloudnet,2,LiveSite,NSM to RNM connection is lost in useast2euap CVL09PrdApp08,MITIGATED,2,10475,CLOUDNET\NetworkManager,Cloudnet,LiveSite,NSM to RNM connection is lost in useast2euap CVL09PrdApp08,,2026-03-31 17:01:34.893000+00:00,2026-03-31 17:01:34.900000+00:00,,0,0,0,,,0,0,0,,,,2026-03-30 16:32:13.013000+00:00,,,,,0,0,0,3,1
770962770,https://portal.microsofticm.com/imp/v3/incidents/details/770962770/home,2026-03-30 16:31:14.810000+00:00,10475,CLOUDNET\NetworkManager,Cloudnet,2,LiveSite,NSM to RNM connection is lost in useast2euap CVL08PrdApp04,MITIGATED,2,10475,CLOUDNET\NetworkManager,Cloudnet,LiveSite,NSM to RNM connection is lost in useast2euap CVL08PrdApp04,,2026-03-31 17:01:28.100000+00:00,2026-03-31 17:01:28.110000+00:00,,0,0,0,,,0,0,0,,,,2026-03-30 16:32:18.670000+00:00,,,,,0,0,0,7,1
770964990,https://portal.microsofticm.com/imp/v3/incidents/details/770964990/home,2026-03-30 16:35:54.267000+00:00,10475,CLOUDNET\NetworkManager,Cloudnet,2,LiveSite,NSM to RNM connection is lost in useast2euap CVL10PrdApp06,MITIGATED,2,10475,CLOUDNET\NetworkManager,Cloudnet,LiveSite,NSM to RNM connection is lost in useast2euap CVL10PrdApp06,,2026-03-31 17:04:05.493000+00:00,2026-03-31 17:04:05.477000+00:00,,0,0,0,,,0,0,0,,,,2026-03-30 16:36:59.280000+00:00,,,,,0,0,0,3,1
770965691,https://portal.microsofticm.com/imp/v3/incidents/details/770965691/home,2026-03-30 16:37:13.933000+00:00,10475,CLOUDNET\NetworkManager,Cloudnet,2,LiveSite,NSM to RNM connection is lost in useast2euap CBN10PrdApp03,MITIGATED,2,10475,CLOUDNET\NetworkManager,Cloudnet,LiveSite,NSM to RNM connection is lost in useast2euap CBN10PrdApp03,,2026-03-30 17:58:49.733000+00:00,2026-03-30 17:58:49.740000+00:00,,0,0,0,,,0,0,0,,,,2026-03-30 16:37:15.440000+00:00,,,,,0,0,0,4,1
770972267,https://portal.microsofticm.com/imp/v3/incidents/details/770972267/home,2026-03-30 16:50:37.833000+00:00,10475,CLOUDNET\NetworkManager,Cloudnet,2,LiveSite,[Merlin] Pubsub publishing failures exceeded threshold in useast2euap CVL08PrdApp19,MITIGATED,2,10475,CLOUDNET\NetworkManager,Cloudnet,LiveSite,[Merlin] Pubsub publishing failures exceeded threshold in useast2euap CVL08PrdApp19,770974418,2026-03-31 23:20:28.373000+00:00,2026-03-31 23:20:27.967000+00:00,,0,0,0,,,0,0,0,,,,2026-03-30 16:50:39.660000+00:00,,,,,0,0,0,10,1
770972605,https://portal.microsofticm.com/imp/v3/incidents/details/770972605/home,2026-03-30 16:51:34.190000+00:00,60163,CLOUDNET\ManagedNetworkController,Cloudnet,25,LiveSite,[Control Path: AVNMCP] Runner Name: AzNetToolsRunners.AnmCPPublicDependencies Region: frances Instance: azfAnmCPPublicDependenciesfrancesProd,RESOLVED,25,60163,CLOUDNET\ManagedNetworkController,Cloudnet,LiveSite,[Control Path: AVNMCP] Runner Name: AzNetToolsRunners.AnmCPPublicDependencies Region: frances Instance: azfAnmCPPublicDependenciesfrancesProd,771567597,2026-05-29 16:38:35.203000+00:00,2026-03-30 22:51:35.650000+00:00,2026-05-29 16:38:35.203000+00:00,0,0,0,,,0,0,0,,,2026-03-30 16:52:04.027000+00:00,2026-03-31 17:08:41.860000+00:00,,,,,0,0,1,1,1
770972899,https://portal.microsofticm.com/imp/v3/incidents/details/770972899/home,2026-03-30 16:52:10.977000+00:00,10475,CLOUDNET\NetworkManager,Cloudnet,2,LiveSite,NSM to RNM connection is lost in useast2euap CBN10PrdApp02,MITIGATED,2,10475,CLOUDNET\NetworkManager,Cloudnet,LiveSite,NSM to RNM connection is lost in useast2euap CBN10PrdApp02,,2026-03-30 19:51:48.947000+00:00,2026-03-30 19:51:48.947000+00:00,,0,0,0,,,0,0,0,,,,2026-03-30 16:52:12.680000+00:00,,,,,0,0,0,7,1
770973351,https://portal.microsofticm.com/imp/v3/incidents/details/770973351/home,2026-03-30 16:53:11.140000+00:00,10475,CLOUDNET\NetworkManager,Cloudnet,2,LiveSite,NSM to RNM connection is lost in useast2euap CVL09PrdApp05,MITIGATED,2,10475,CLOUDNET\NetworkManager,Cloudnet,LiveSite,NSM to RNM connection is lost in useast2euap CVL09PrdApp05,,2026-03-31 17:01:29.823000+00:00,2026-03-31 17:01:29.820000+00:00,,0,0,0,,,0,0,0,,,,2026-03-30 16:54:36.820000+00:00,,,,,0,0,0,5,1
770973382,https://portal.microsofticm.com/imp/v3/incidents/details/770973382/home,2026-03-30 16:53:15.227000+00:00,10475,CLOUDNET\NetworkManager,Cloudnet,2,LiveSite,[Primary Health] Network Service Manager Primary Heartbeat Signal is missing in useast2euap CVL09PrdApp01,ACTIVE,2,10475,CLOUDNET\NetworkManager,Cloudnet,LiveSite,[Primary Health] Network Service Manager Primary Heartbeat Signal is missing in useast2euap CVL09PrdApp01,,2026-03-30 18:17:57.053000+00:00,,,0,0,0,,,0,0,0,,,,2026-03-30 16:53:18.370000+00:00,,,,,0,0,0,15,1
770974201,https://portal.microsofticm.com/imp/v3/incidents/details/770974201/home,2026-03-30 16:54:54.070000+00:00,10475,CLOUDNET\NetworkManager,Cloudnet,2,LiveSite,NSM to RNM connection is lost in useast2euap ECB98PrdApp04,MITIGATED,2,10475,CLOUDNET\NetworkManager,Cloudnet,LiveSite,NSM to RNM connection is lost in useast2euap ECB98PrdApp04,,2026-03-31 17:04:52.983000+00:00,2026-03-31 17:04:52.963000+00:00,,0,0,0,,,0,0,0,,,,2026-03-30 16:54:56.067000+00:00,,,,,0,0,0,5,1
770974418,https://portal.microsofticm.com/imp/v3/incidents/details/770974418/home,2026-03-30 16:55:29.640000+00:00,10475,CLOUDNET\NetworkManager,Cloudnet,2,LiveSite,[Merlin] Pubsub publishing failures exceeded threshold in useast2euap CVL08PrdApp07,MITIGATED,2,10475,CLOUDNET\NetworkManager,Cloudnet,LiveSite,[Merlin] Pubsub publishing failures exceeded threshold in useast2euap CVL08PrdApp07,,2026-03-31 23:20:27.980000+00:00,2026-03-31 23:20:27.967000+00:00,,0,0,0,,,0,0,0,,,,2026-03-30 16:55:31.617000+00:00,,,,,0,0,0,90,1
770975192,https://portal.microsofticm.com/imp/v3/incidents/details/770975192/home,2026-03-30 16:57:13.447000+00:00,60163,CLOUDNET\ManagedNetworkController,Cloudnet,2,LiveSite,New PubSub Client Connection Failed in useast2euap-slice1,RESOLVED,2,60163,CLOUDNET\ManagedNetworkController,Cloudnet,LiveSite,New PubSub Client Connection Failed in useast2euap-slice1,771567597,2026-05-29 16:38:35.157000+00:00,2026-04-03 21:20:42.897000+00:00,2026-05-29 16:38:35.157000+00:00,0,0,0,,,0,0,0,,,,2026-03-30 16:58:40.613000+00:00,,,,,0,0,0,3,1
770976257,https://portal.microsofticm.com/imp/v3/incidents/details/770976257/home,2026-03-30 16:59:30.153000+00:00,10661,CLOUDNET\RNM,Cloudnet,2,LiveSite,[Aggregate][Batch Publishing Monitor][useast2euap] 1 of 2 children Unhealthy,MITIGATED,2,10661,CLOUDNET\RNM,Cloudnet,LiveSite,[Aggregate][Batch Publishing Monitor][useast2euap] 1 of 2 children Unhealthy,770955382,2026-03-31 17:45:25.427000+00:00,2026-03-31 17:45:25.390000+00:00,,1,0,1,0,,1,0,1,2026-03-30 17:06:30.343000+00:00,,2026-03-30 17:11:52.837000+00:00,2026-03-30 17:00:34.110000+00:00,2026-03-30 17:06:30.343000+00:00,420,,420,21,0,6,4,1
770978608,https://portal.microsofticm.com/imp/v3/incidents/details/770978608/home,2026-03-30 17:04:48.810000+00:00,10475,CLOUDNET\NetworkManager,Cloudnet,2,LiveSite,API Duration for CreateRoutableIPEndpoint INsmPlusManagement High in AsgardRCore-Prod-useast2euap-R-134},MITIGATED,2,10475,CLOUDNET\NetworkManager,Cloudnet,LiveSite,API Duration for CreateRoutableIPEndpoint INsmPlusManagement High in AsgardRCore-Prod-useast2euap-R-134},,2026-04-02 08:28:05.567000+00:00,2026-04-01 08:27:08+00:00,,0,0,0,,,0,0,0,,,,2026-03-30 17:06:52.873000+00:00,,,,,0,0,0,3,1
