IncidentId,IncidentLink,OriginalCreateDate,OriginalOwningTeamId,OriginalOwningTeamName,OriginalOwningTenantName,OriginalSeverity,OriginalIncidentType,OriginalTitle,CurrentStatus,CurrentSeverity,CurrentOwningTeamId,CurrentOwningTeamName,CurrentOwningTenantName,CurrentIncidentType,CurrentTitle,ParentIncidentId,ModifiedDate,MitigateDate,ResolveDate,HasAutoTransfer,HasAutoLink,HasAnyAutoAction,AutoTransferCorrect,AutoLinkCorrect,HasManualTransferAfterAuto,HasManualRelationshipUpdateAfterAuto,HasAnyManualCorrectionAfterAuto,FirstAutoTransferAt,FirstAutoLinkAt,FirstManualTransferAt,FirstManualRelationshipUpdateAt,FirstAutoActionAt,TransferLatencySeconds,LinkLatencySeconds,FirstAutoActionLatencySeconds,AutoTransferEventCount,AutoLinkEventCount,ManualTransferEventCount,ManualRelationshipUpdateEventCount,IsStillInOriginalTeam
755077896,https://portal.microsofticm.com/imp/v3/incidents/details/755077896/home,2026-03-01 02:21:55.493000+00:00,60163,CLOUDNET\ManagedNetworkController,Cloudnet,25,LiveSite,[Control Path: AVNMCP] Runner Name: AzNetToolsRunners.AnmCPPublicConnCommit Region: uscentraleuap Instance: azfAnmCPPublicConnCommituscentraleuapProd,MITIGATED,25,75540,CLOUDNET\VNC,Cloudnet,LiveSite,[Control Path: AVNMCP] Runner Name: AzNetToolsRunners.AnmCPPublicConnCommit Region: uscentraleuap Instance: azfAnmCPPublicConnCommituscentraleuapProd,756928242,2026-03-05 07:51:16.783000+00:00,2026-03-05 07:51:16.757000+00:00,,0,0,0,,,0,0,0,,,2026-03-05 00:23:50.693000+00:00,2026-03-01 21:18:01.530000+00:00,,,,,0,0,1,2,0
755123403,https://portal.microsofticm.com/imp/v3/incidents/details/755123403/home,2026-03-01 04:58:27.043000+00:00,10475,CLOUDNET\NetworkManager,Cloudnet,2,LiveSite,SLB long pending (ModifiedDurationOver5Minutes) CA-PA mapping publishing task count exceeds threshold in useast2 LVL06PrdApp42,RESOLVED,3,118424,SOFTWARELOADBALANCER\General,Software Load Balancer,LiveSite,SLB long pending (ModifiedDurationOver5Minutes) CA-PA mapping publishing task count exceeds threshold in useast2 LVL06PrdApp42,,2026-03-02 21:51:58.107000+00:00,2026-03-01 07:01:02.490000+00:00,2026-03-02 21:51:57.333000+00:00,0,0,0,,,0,0,0,,,2026-03-02 21:24:29.557000+00:00,2026-03-02 19:39:41.073000+00:00,,,,,0,0,2,10,0
755131478,https://portal.microsofticm.com/imp/v3/incidents/details/755131478/home,2026-03-01 05:26:42.240000+00:00,10549,CLOUDNET\NRP,Cloudnet,25,LiveSite,[Control Path: RNC] Runner Name: AzNetToolsRunners.RnmAsgUpdateAfterDeletingVMRunner Region: uscentraleuap Instance: azfRNCRnmAsgUpdateAfterDeletingVMRunneruscentraleuapProd Phase: VM3_PING_VM1_Phase_2,ACTIVE,25,10549,CLOUDNET\NRP,Cloudnet,LiveSite,[Control Path: RNC] Runner Name: AzNetToolsRunners.RnmAsgUpdateAfterDeletingVMRunner Region: uscentraleuap Instance: azfRNCRnmAsgUpdateAfterDeletingVMRunneruscentraleuapProd Phase: VM3_PING_VM1_Phase_2,714968715,2026-03-01 19:56:06.680000+00:00,,,1,0,1,1,,0,1,1,2026-03-01 05:38:33.417000+00:00,,,2026-03-01 05:39:51.610000+00:00,2026-03-01 05:38:33.417000+00:00,711,,711,3,0,0,3,1
755146295,https://portal.microsofticm.com/imp/v3/incidents/details/755146295/home,2026-03-01 06:18:53.727000+00:00,60163,CLOUDNET\ManagedNetworkController,Cloudnet,25,LiveSite,[Control Path: AVNMCP] Runner Name: AzNetToolsRunners.AnmCPPublicCrud Region: useast Instance: azfAnmCPPublicCruduseastProd,MITIGATED,25,60163,CLOUDNET\ManagedNetworkController,Cloudnet,LiveSite,[Control Path: AVNMCP] Runner Name: AzNetToolsRunners.AnmCPPublicCrud Region: useast Instance: azfAnmCPPublicCruduseastProd,,2026-03-01 15:18:48.717000+00:00,2026-03-01 15:18:48.710000+00:00,,,,,,,,,,,,,,,,,,,,,,1
755193325,https://portal.microsofticm.com/imp/v3/incidents/details/755193325/home,2026-03-01 09:01:32.313000+00:00,10475,CLOUDNET\NetworkManager,Cloudnet,2,LiveSite,SLB long pending (ModifiedDurationOver5Minutes) CA-PA mapping publishing task count exceeds threshold in useast2 LVL06PrdApp42,RESOLVED,3,118424,SOFTWARELOADBALANCER\General,Software Load Balancer,LiveSite,SLB long pending (ModifiedDurationOver5Minutes) CA-PA mapping publishing task count exceeds threshold in useast2 LVL06PrdApp42,755123403,2026-03-02 21:51:57.377000+00:00,2026-03-01 11:04:05.827000+00:00,2026-03-02 21:51:57.377000+00:00,0,0,0,,,0,0,0,,,2026-03-02 21:24:29.653000+00:00,2026-03-02 19:41:37.280000+00:00,,,,,0,0,2,1,0
755232905,https://portal.microsofticm.com/imp/v3/incidents/details/755232905/home,2026-03-01 11:18:53.693000+00:00,60163,CLOUDNET\ManagedNetworkController,Cloudnet,25,LiveSite,[Control Path: AVNMCP] Runner Name: AzNetToolsRunners.AnmCPPublicConnCommit Region: useast2euap Instance: azfAnmCPPublicConnCommituseast2euapProd,MITIGATED,25,60163,CLOUDNET\ManagedNetworkController,Cloudnet,LiveSite,[Control Path: AVNMCP] Runner Name: AzNetToolsRunners.AnmCPPublicConnCommit Region: useast2euap Instance: azfAnmCPPublicConnCommituseast2euapProd,,2026-03-02 06:48:13.097000+00:00,2026-03-02 06:48:13.077000+00:00,,,,,,,,,,,,,,,,,,,,,,1
755295233,https://portal.microsofticm.com/imp/v3/incidents/details/755295233/home,2026-03-01 14:53:03.250000+00:00,10549,CLOUDNET\NRP,Cloudnet,25,LiveSite,"[Publisher-Prod] CredScan Team--Your service has leaked ""Azure Logic App Shared Access Signature"" in Geneva Entity:DiagnosticsProd.Nrp.ReadOperationResponseEtwEvent - Act Now!",ACTIVE,25,10477,CLOUDNET\Brooklyn,Cloudnet,LiveSite,"[Publisher-Prod] CredScan Team--Your service has leaked ""Azure Logic App Shared Access Signature"" in Geneva Entity:DiagnosticsProd.Nrp.ReadOperationResponseEtwEvent - Act Now!",,2026-03-02 18:49:08.760000+00:00,,,0,0,0,,,0,0,0,,,2026-03-02 18:27:19.190000+00:00,,,,,,0,0,1,0,0
755360723,https://portal.microsofticm.com/imp/v3/incidents/details/755360723/home,2026-03-01 18:48:41.973000+00:00,10475,CLOUDNET\NetworkManager,Cloudnet,2,Deployment,API Duration for SetGoalState ISlbManager High in usstagee},MITIGATED,2,10475,CLOUDNET\NetworkManager,Cloudnet,Deployment,API Duration for SetGoalState ISlbManager High in usstagee},,2026-03-09 17:40:19.890000+00:00,2026-03-02 17:38:51+00:00,,,,,,,,,,,,,,,,,,,,,,1
755360765,https://portal.microsofticm.com/imp/v3/incidents/details/755360765/home,2026-03-01 18:48:53.320000+00:00,60163,CLOUDNET\ManagedNetworkController,Cloudnet,25,LiveSite,[Control Path: AVNMCP] Runner Name: AzNetToolsRunners.AnmCPPublicConnCommit Region: uswestcentral Instance: azfAnmCPPublicConnCommituswestcentralProd,MITIGATED,25,60163,CLOUDNET\ManagedNetworkController,Cloudnet,LiveSite,[Control Path: AVNMCP] Runner Name: AzNetToolsRunners.AnmCPPublicConnCommit Region: uswestcentral Instance: azfAnmCPPublicConnCommituswestcentralProd,,2026-03-02 00:48:49.240000+00:00,2026-03-02 00:48:49.240000+00:00,,0,0,0,,,0,0,0,,,,2026-03-01 21:18:01.530000+00:00,,,,,0,0,0,2,1
755362136,https://portal.microsofticm.com/imp/v3/incidents/details/755362136/home,2026-03-01 18:54:06.620000+00:00,10661,CLOUDNET\RNM,Cloudnet,25,LiveSite,[Control Path: Vnet] Runner Name: AzNetToolsRunners.PERunnerPLNSG Region: useast Instance: azfPERunnerPLNSGuseastPairuseast2Prod Phase: PE-Create-NsgSubnet,ACTIVE,3,10661,CLOUDNET\RNM,Cloudnet,LiveSite,[Control Path: Vnet] Runner Name: AzNetToolsRunners.PERunnerPLNSG Region: useast Instance: azfPERunnerPLNSGuseastPairuseast2Prod Phase: PE-Create-NsgSubnet,,2026-03-23 21:41:12.780000+00:00,,,1,0,1,0,,1,0,1,2026-03-01 19:05:00.163000+00:00,,2026-03-02 22:31:47.803000+00:00,,2026-03-01 19:05:00.163000+00:00,654,,654,1,0,4,0,1
